#ID, X, Y, Yerr, Xerr
892,-152.355797842,-20.835276,0.066442,5.37941436472
893,380.948752777,-23.310031,0.183354,7.74171476645
894,204.058976987,-21.776274,0.122146,5.44408593706
895,114.901374175,-18.688635,0.136387,2.47561121423
896,195.765182616,-21.726813,0.049297,4.50800959614
897,108.396441653,-21.751704,0.288325,2.85997850934
898,255.404506667,-21.474149,0.045323,8.33943596439
900,100.82379485,-22.711168,0.056307,0.900103925784
901,199.446888801,-21.414825,0.504618,2.41747138407
902,269.140805201,-21.413559,0.317269,4.32232259352
903,327.923736766,-22.381562,0.137206,0.329026172
904,295.673710102,-21.623202,0.077647,0.687962527066
905,139.310234423,-19.439161,0.261857,13.0468728452
907,150.227227532,-19.813675,0.01,4.07802233284
908,349.098522421,-21.134569,0.16484,3.15481288205
909,128.784688853,-20.512024,0.02,3.66394641226
911,75.6622698913,-22.91938,0.215065,0.295178480602
912,164.560161537,-21.333053,0.087497,3.15991861518
913,198.679614263,-20.210394,0.327805,0.214052422789
914,-205.076488167,-20.917883,0.075973,4.34745373408
915,190.644548202,-21.395617,0.047545,0.6013078777
916,256.577493607,-21.58422,0.263014,9.72393222598
917,221.234173068,-21.569608,0.134198,7.11243546005
919,226.220272778,-21.589139,0.037909,8.00700563138
920,146.635890442,-21.214131,0.103979,4.54874715121
922,111.218860255,-20.459826,0.01,1.59552628408
923,210.292620947,-21.822628,0.027645,5.14658489258
924,135.937059235,-21.058084,0.04,0.448850459648
925,250.361112435,-21.943224,0.02,3.91923552303
929,224.16392134,-21.959254,0.02,9.62257820586
930,137.522973995,-20.552863,0.03,3.41011370086
932,266.337833836,-22.581148,0.251936,10.1728588164
933,356.392949826,-21.027933,0.091948,4.09448892255
935,165.226348239,-20.570874,0.02,1.62374100967
936,-248.268377538,-20.866898,0.02,9.69426678001
937,-200.189243515,-19.54709,0.07,1.04993129897
938,183.223732723,-22.108503,0.035753,3.11896695939
939,196.450625262,-22.065999,0.109008,0.746862800222
